source_id,title,url,source_type,publisher_class,source_date,tier_research,fulltext_status,chat_covered,needs_recheck,dedupe_key,promotion_target,handbook_delta,notes_short
src_oz_warp_cloudagents_pdf_2026,Oz / Warp – Cloud Agents for Enterprise (uploaded PDF),local-file:Oz-Warp-CloudAgents.pdf,uploaded-pdf,vendor-pdf,2026,c,pdf-reviewed-in-chat,yes,yes,file:Oz-Warp-CloudAgents.pdf,blackboard_only,medium,"Orchestration, audit trail, recoverability, human approval; vendor claims need triangulation."
src_karpathy_autoresearch_20260310,GitHub – karpathy/autoresearch,https://github.com/karpathy/autoresearch,github-repo,community-repo,2026-03-10,c,readme-plus-selected-files,yes,yes,github:karpathy/autoresearch,template_candidate,high,program.md as lightweight skill; fixed 5-minute experiment loop; single editable file; keep/discard via val_bpb; strong harness/runbook pattern.
src_awesome_system_design_resources_20260310,GitHub – ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,awesome-list,curated-link-list,2026-03-10,c,readme-reviewed,yes,yes,github:ashishps1/awesome-system-design-resources,library_only,low_medium,"Broad system-design and interview resource hub; useful as background library, but low direct agentic-SWE delta."
src_smart_codebase_20260311,GitHub – cxOrz/smart-codebase,https://github.com/cxOrz/smart-codebase,github-repo,community-repo,2026-03-11,c,readme-reviewed,yes,yes,github:cxOrz/smart-codebase,handbook_candidate,high,"OpenCode plugin for auto-extracted project knowledge; project SKILL index plus module knowledge files; strong shared-context, memory-layer and session-lifecycle pattern."
src_openai_codex_best_practices_2026,OpenAI Codex Docs – Best practices,https://developers.openai.com/codex/learn/best-practices,vendor-doc,vendor-docs,2026-??-??,c,fulltext-reviewed,yes,no,url:developers.openai.com/codex/learn/best-practices,handbook_candidate,very_high,"Official Codex operating guide: prompt structure, plan-first, short layered AGENTS.md, config layering, tests/review, MCP, skills, automations, and session controls."
src_openai_symphony_20260311,GitHub – openai/symphony,https://github.com/openai/symphony,github-repo,vendor-open-source-repo,2026-03-11,c,readme-plus-docs-reviewed,yes,yes,github:openai/symphony,handbook_candidate,very_high,"Official OpenAI orchestration model for autonomous coding work: per-issue isolated workspaces, in-repo WORKFLOW.md contract, tracker-driven dispatch, retries, reconciliation, observability, and explicit trust/safety posture; preview/prototype so recheck needed."
src_arxiv_2603_02766_20260303,arXiv:2603.02766 – EvoSkill: Automated Skill Discovery for Multi-Agent Systems,https://arxiv.org/abs/2603.02766,preprint,arxiv,2026-03-03,b,page-reviewed,yes,yes,arxiv:2603.02766,handbook_candidate,high,Automated skill discovery from failure analysis; structured reusable skill folders; Pareto selection on held-out validation; reported gains on OfficeQA and SealQA plus zero-shot transfer to BrowseComp.
src_paperclipai_paperclip_20260312,GitHub – paperclipai/paperclip,https://github.com/paperclipai/paperclip,github-repo,company-repo,2026-03-12,c,readme-plus-docs-reviewed,yes,yes,github:paperclipai/paperclip,handbook_candidate,high,"Agent-company control plane with org charts, goals, heartbeats, budgets, approvals, task checkout semantics, and audit logging; strong governance and lifecycle pattern, but code-level enforcement still needs recheck."
src_agentsys_20260312,GitHub – agent-sh/agentsys,https://github.com/agent-sh/agentsys,github-repo,community-repo,2026-03-12,c,readme-reviewed,yes,yes,github:agent-sh/agentsys,handbook_candidate,high,"Modular runtime and orchestration system for AI agents; marketplace/installer for plugins, agents, and skills; phase-gated pipelines, persistent state across sessions, and command-driven workflow model; renamed from awesome-slash."
src_public_apis_20260312,GitHub – public-apis/public-apis,https://github.com/public-apis/public-apis,awesome-list,curated-link-list,2026-03-12,c,readme-reviewed,yes,yes,github:public-apis/public-apis,library_only,low,"Large community-curated catalog of free public APIs across many domains; useful as background integration/library resource, but low direct agentic-SWE delta."
src_live_swe_agent_20260312,GitHub – OpenAutoCoder/live-swe-agent,https://github.com/OpenAutoCoder/live-swe-agent,github-repo,community-repo,2026-03-12,c,readme-reviewed,yes,yes,github:OpenAutoCoder/live-swe-agent,handbook_candidate,high,"Runtime self-evolving SWE agent scaffold built on mini-swe-agent; strong benchmark/evaluation framing with SWE-bench artifacts and release data; promising for self-modifying scaffold, harness, and fair-eval patterns, but core claims need paper/code recheck."
src_autocontext_20260313,GitHub – greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,github-repo,community-repo,2026-03-13,c,readme-reviewed,yes,yes,github:greyhaven-ai/autocontext,handbook_candidate,high,"Closed-loop agent improvement system with persistent playbooks and lessons across runs, multi-role analysis/coach/curator loop, staged validation and rollback, harness-aware execution, and optional frontier-to-local distillation; formerly named MTS."
src_anthropic_cybersecurity_skills_20260314,GitHub – mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,github-repo,community-repo,2026-03-14,c,readme-reviewed,yes,yes,github:mukul975/Anthropic-Cybersecurity-Skills,template_candidate,medium_high,"Large agentskills.io-compatible cybersecurity skill library; strong example of progressive disclosure, YAML routing metadata, and consistent skill anatomy with workflow and verification, but domain is cyber-specific and sample skills still need recheck."
src_agent_skills_hub_20260314,GitHub – zhuyansen/agent-skills-hub,https://github.com/zhuyansen/agent-skills-hub,github-repo,community-repo,2026-03-14,c,readme-reviewed,yes,yes,github:zhuyansen/agent-skills-hub,handbook_candidate,medium_high,"Discovery and evaluation platform for 6,000+ agent skills, MCP servers, and AI tools; explicit cleaning, scoring, and ranking pipeline with agent-readiness and quality dimensions; public deployment at agentskillshub.top; implementation details still need recheck."
src_claude_codex_settings_20260316,GitHub – fcakyon/claude-codex-settings,https://github.com/fcakyon/claude-codex-settings,github-repo,community-repo,2026-03-16,c,readme-reviewed,yes,yes,github:fcakyon/claude-codex-settings,template_candidate,high,"Battle-tested Claude Code and OpenAI Codex setup with plugins, skills, commands, hooks, subagents, and MCP servers; notable cross-tool pattern via CLAUDE.md -> AGENTS.md symlink and reusable workflow packages."
