source_id,title,url,source_type,publisher_class,source_date,tier_research,fulltext_status,chat_covered,needs_recheck,dedupe_key,promotion_target,handbook_delta,notes_short
src_arxiv_2604_14004_2026,"arXiv:2604.14004 – Cross-domain memory transfer for coding agents",https://arxiv.org/abs/2604.14004,preprint,arxiv,2026-04-??,b,page-reviewed,yes,yes,arxiv:2604.14004,handbook_candidate,high,"Cross-domain memory transfer paper; abstractions like insight, workflow and summary generalize better than low-level traces."
src_x_status_2045077274660135210,"X status – unresolved post 2045077274660135210",https://x.com/i/status/2045077274660135210,social-post,social-media,2026-??-??,c,snippet-only,yes,yes,x-status:2045077274660135210,blackboard_only,low,"Post content not resolvable in current intake; retain only as snippet-level hint, no promotion."
src_arxiv_2604_15034_2026,"arXiv:2604.15034 – AGP self-evolving agent protocol paper",https://arxiv.org/abs/2604.15034,preprint,arxiv,2026-04-??,b,page-reviewed,yes,yes,arxiv:2604.15034,handbook_candidate,very_high,"Resource substrate plus self-evolution layer for versioned prompts, agents, tools, environments and memory with lineage and rollback."
src_anthropic_harness_design_long_running_apps_2026,"Anthropic Engineering – Harness design for long-running application development",https://www.anthropic.com/engineering/harness-design-long-running-apps,blog,vendor-engineering-blog,2026-??-??,b,fulltext-reviewed,yes,no,url:anthropic.com/engineering/harness-design-long-running-apps,handbook_candidate,very_high,"Long-running coding harness patterns: planner, generator and evaluator split, sprint contracts, file handoffs and verification adapters."
src_x_status_2045420155434320270,"X status – unresolved post 2045420155434320270",https://x.com/i/status/2045420155434320270,social-post,social-media,2026-??-??,c,snippet-only,yes,yes,x-status:2045420155434320270,blackboard_only,low,"Post content and outgoing links not resolvable in current intake; retain only as snippet-level hint, no promotion."
src_arxiv_2604_14228_2026,"arXiv:2604.14228 – Dive into Claude Code",https://arxiv.org/abs/2604.14228,preprint,arxiv,2026-04-??,b,page-reviewed,yes,yes,arxiv:2604.14228,handbook_candidate,very_high,"Architecture and design-space paper on Claude Code: permission modes, compaction pipeline, MCP, plugins, skills, hooks, subagents and append-oriented session storage."
src_rtk_ai_rtk_2026,"GitHub – rtk-ai/rtk",https://github.com/rtk-ai/rtk,github-repo,company-repo,2026-??-??,c,readme-reviewed,yes,yes,github:rtk-ai/rtk,template_candidate,medium_high,"Shell-output compaction and auto-rewrite hooks for many coding-agent CLIs; strong output-filter pattern, limited deeper runtime semantics."
src_context_mode_2026,"GitHub – mksglu/context-mode",https://github.com/mksglu/context-mode,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:mksglu/context-mode,handbook_candidate,very_high,"Sandbox execution, SQLite FTS5 retrieval, hook-based routing and session continuity as an integrated context and runtime layer."
src_code_review_graph_2026,"GitHub – tirth8205/code-review-graph",https://github.com/tirth8205/code-review-graph,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:tirth8205/code-review-graph,handbook_candidate,high,"AST and graph-based repo understanding with blast-radius analysis, incremental updates and minimal review context."
src_token_savior_recall_2026,"GitHub – Mibayy/token-savior",https://github.com/Mibayy/token-savior,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:Mibayy/token-savior,handbook_candidate,very_high,"Structural code navigation plus persistent memory engine with hybrid search, contradiction detection, TTL, decay and progressive disclosure."
src_ooples_token_optimizer_mcp_2026,"GitHub – ooples/token-optimizer-mcp",https://github.com/ooples/token-optimizer-mcp,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:ooples/token-optimizer-mcp,template_candidate,medium_high,"Broad MCP token optimizer with SQLite cache, Brotli compression and multi-phase hooks; strong tooling pattern, weaker field anchor."
src_claude_token_optimizer_2026,"GitHub – nadimtuhin/claude-token-optimizer",https://github.com/nadimtuhin/claude-token-optimizer,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:nadimtuhin/claude-token-optimizer,template_candidate,medium,"Repo-local doc-load minimization via CLAUDE.md, .claudeignore and core-vs-archive split; useful documentation pattern, not a full runtime model."
src_alexgreensh_token_optimizer_2026,"GitHub – alexgreensh/token-optimizer",https://github.com/alexgreensh/token-optimizer,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:alexgreensh/token-optimizer,handbook_candidate,very_high,"Context-quality runtime with structural waste audit, compaction checkpoints and restore, quality scoring and active compression."
src_loopndroll_2026,"GitHub – lnikell/loopndroll",https://github.com/lnikell/loopndroll,github-repo,community-repo,2026-??-??,c,readme-reviewed,yes,yes,github:lnikell/loopndroll,template_candidate,high,"Codex-hook continuation controller with completion checks, await-reply and bounded extra turns; strong stop and continue governance pattern."
